City,Job title,Min salary (local currency),Max salary (local currency),per,Min salary (usd/y),Max salary (usd/y),Average salary (usd/y)
London,Data Scientist,£50K,£88K,yr,61317.01430787795,107917.9451818652,84617.47974487157
Paris,Data Scientist,€47K,€64K,yr,50153.7,68294.4,59224.05
New York,Data Scientist,$132K,$196K,yr,132000.0,196000.0,164000.0
Tokyo,Data Scientist,¥6M,¥11M,yr,39775.11337516307,72921.04118779897,56348.07728148102
Singapore,Data Scientist,SGD11K,SGD26K,mo,97270.35425730266,229911.7464263517,163591.0503418272
Dubai,Data Scientist,AED27K,AED60K,mo,0.0,0.0,0.0
San Francisco,Data Scientist,$152K,$211K,yr,152000.0,211000.0,181500.0
Barcelona,Data Scientist,€36K,€58K,yr,38415.6,61891.8,50153.7
Amsterdam,Data Scientist,€59K,€92K,yr,62958.9,98173.2,80566.04999999999
Seoul,Data Scientist,₩58M,₩96M,yr,44144.41916364129,73066.62482257868,58605.52199310999
Rome (Italy),Data Scientist,€31K,€44K,yr,33080.1,46952.39,40016.245
Prague,Data Scientist,CZK145K,CZK257K,mo,75275.84529311603,133419.94648504013,104347.89588907808
Madrid,Data Scientist,€33K,€51K,yr,35214.3,54422.1,44818.2
Berlin,Data Scientist,€63K,€83K,yr,67227.3,88569.29999999999,77898.29999999999
Los Angeles,Data Scientist,$127K,$189K,yr,127000.0,189000.0,158000.0
Chicago,Data Scientist,$118K,$168K,yr,118000.0,168000.0,143000.0
Washington DC,Data Scientist,$123K,$176K,yr,123000.0,176000.0,149500.0
Beijing,Data Scientist,CN¥324K,CN¥762K,yr,44497.40665903036,104651.30825364547,74574.35745633792
Istanbul,Data Scientist,TRY43K,TRY107K,mo,18097.4380043056,45033.15968513254,31565.298844719066
Dublin,Data Scientist,€52K,€84K,yr,55489.2,89636.4,72562.79999999999
"Vienna, Austria",Data Scientist,€56K,€79K,yr,59757.6,84300.9,72029.25
Milan,Data Scientist,€32K,€47K,yr,34147.2,50153.7,42150.45
Toronto,Data Scientist,CA$91K,CA$135K,yr,66009.17680647134,97925.7018557542,81967.43933111276
Boston,Data Scientist,$132K,$186K,yr,132000.0,186000.0,159000.0
Abu Dhabi,Data Scientist,AED23K,AED63K,mo,0.0,0.0,0.0
Budapest,Data Scientist,HUF1M,HUF2M,mo,33752.96536454215,67505.9307290843,50629.44804681322
São Paulo,Data Scientist,R$21K,R$48K,mo,51582.36783549451,117902.55505255888,84742.4614440267
Riyadh,Data Scientist,SAR47K,SAR178K,mo,0.0,0.0,0.0
Stockholm,Data Scientist,SEK74K,SEK138K,mo,81299.36939642228,151612.33752305777,116455.85345974004
Munich,Data Scientist,€66K,€89K,yr,70428.59999999999,94971.9,82700.25
"Melbourne, Australia",Data Scientist,A$100K,A$143K,yr,64314.12729026036,91969.20202507231,78141.66465766633
Lisbon,Data Scientist,€30K,€43K,yr,32013.0,45885.3,38949.15
Zürich,Data Scientist,CHF106K,CHF139K,yr,117837.8997812272,154523.28367538285,136180.59172830504
Seattle,Data Scientist,$143K,$198K,yr,143000.0,198000.0,170500.0
Sydney,Data Scientist,A$109K,A$152K,yr,70102.3987463838,97757.47348119576,83929.93611378978
Doha,Data Scientist,QAR47K,QAR153K,mo,0.0,0.0,0.0
Brussels,Data Scientist,€5K,€13K,mo,64026.0,166467.59999999998,115246.8
San Jose,Data Scientist,$152K,$211K,yr,152000.0,211000.0,181500.0
Bangkok,Data Scientist,THB105K,THB315K,mo,35460.24210776169,106380.72632328508,70920.48421552338
Warsaw,Data Scientist,PLN14K,PLN34K,mo,40146.187437017135,97497.88377561304,68822.03560631508
Copenhagen,Data Scientist,DKK53K,DKK89K,mo,90999.67819790827,152810.7803700724,121905.22928399034
Taipei,Data Scientist,NT$949K,NT$2M,yr,0.0,0.0,0.0
Austin,Data Scientist,$120K,$171K,yr,120000.0,171000.0,145500.0
Oslo,Data Scientist,NOK715K,NOK936K,yr,63951.76228992917,83718.6706340891,73835.21646200914
Hong Kong,Data Scientist,HK$68K,HK$135K,mo,0.0,0.0,0.0
"Athens, Greece",Data Scientist,€2K,€3K,mo,25610.4,38415.6,32013.0
Frankfurt,Data Scientist,€63K,€86K,yr,67227.3,91770.6,79498.95
Vancouver,Data Scientist,CA$84K,CA$144K,yr,60931.54782135817,104454.08197947111,82692.81490041464
San Diego,Data Scientist,$122K,$180K,yr,122000.0,180000.0,151000.0
Orlando,Data Scientist,$102K,$152K,yr,102000.0,152000.0,127000.0
Helsinki,Data Scientist,€6K,€10K,mo,76831.2,128052.0,102441.6
Miami,Data Scientist,$109K,$167K,yr,109000.0,167000.0,138000.0
Buenos Aires,Data Scientist,ARS621K,ARS2M,mo,0.0,0.0,0.0
Hamburg,Data Scientist,€62K,€83K,yr,66160.2,88569.29999999999,77364.75
Brisbane,Data Scientist,A$98K,A$146K,yr,63027.84474445516,93898.62584378012,78463.23529411765
Kuwait,Data Scientist,KWD5K,KWD9K,mo,0.0,0.0,0.0
Las Vegas,Data Scientist,$113K,$169K,yr,113000.0,169000.0,141000.0
Montreal,Data Scientist,CA$84K,CA$122K,yr,60931.54782135817,88495.8194548297,74713.68363809393
Glasgow,Data Scientist,£40K,£60K,yr,49053.61144630236,73580.41716945353,61317.01430787794
Shanghai,Data Scientist,CN¥286K,CN¥578K,yr,39278.57501383544,79381.17607691219,59329.87554537381
Rio de Janeiro,Data Scientist,R$12K,R$32K,mo,29475.638763139723,78601.7033683726,54038.67106575616
Auckland,Data Scientist,NZ$78K,NZ$122K,yr,0.0,0.0,0.0
Atlanta,Data Scientist,$113K,$163K,yr,113000.0,163000.0,138000.0
Houston,Data Scientist,$111K,$164K,yr,111000.0,164000.0,137500.0
Busan,Data Scientist,€32K,€41K,yr,34147.2,43751.1,38949.15
Philadelphia,Data Scientist,$116K,$164K,yr,116000.0,164000.0,140000.0
"Naples, Italy",Data Scientist,€28K,€39K,yr,29878.8,41616.9,35747.85
Denver,Data Scientist,$118K,$167K,yr,118000.0,167000.0,142500.0
Nashville,Data Scientist,$112K,$156K,yr,112000.0,156000.0,134000.0
Manchester,Data Scientist,£39K,£60K,yr,47827.2711601448,73580.41716945353,60703.84416479917
Dallas,Data Scientist,$115K,$161K,yr,115000.0,161000.0,138000.0
Liverpool,Data Scientist,£37K,£55K,yr,45374.59058782968,67448.71573866575,56411.65316324771
Minneapolis,Data Scientist,$118K,$172K,yr,118000.0,172000.0,145000.0
Minsk,Data Scientist,BYN5K,BYN7K,mo,0.0,0.0,0.0
Lyon,Data Scientist,€42K,€60K,yr,44818.2,64025.99999999999,54422.09999999999
Portland,Data Scientist,$134K,$187K,yr,134000.0,187000.0,160500.0
Rotterdam,Data Scientist,€4K,€8K,mo,51220.8,102441.6,76831.2
Bogotá,Data Scientist,COP8M,COP28M,mo,0.0,0.0,0.0
Kraków,Data Scientist,PLN24K,PLN57K,mo,68822.03560631508,163452.33456499834,116137.1850856567
"Valencia, Spain",Data Scientist,€28K,€42K,yr,29878.8,44818.2,37348.5
Santiago,Data Scientist,CLP3M,CLP9M,mo,0.0,0.0,0.0
"Birmingham, UK",Data Scientist,£36K,£59K,yr,44148.25030167213,72354.07688329597,58251.16359248405
