City,Job title,Min salary (local currency),Max salary (local currency),per,Min salary (usd/y),Max salary (usd/y),Average salary (usd/y)
London,Trader,£70K,£230K,yr,85843.82003102913,282058.2658162386,183951.04292363385
Paris,Trader,€69K,€228K,yr,73629.9,243298.8,158464.34999999998
New York,Trader,$118K,$218K,yr,118000.0,218000.0,168000.0
Tokyo,Trader,¥6M,¥12M,yr,39775.11337516307,79550.22675032614,59662.670062744604
Singapore,Trader,SGD77K,SGD295K,yr,56741.03998342656,217384.50383260823,137062.7719080174
Dubai,Trader,AED16K,AED2M,mo,0.0,0.0,0.0
San Francisco,Trader,$126K,$230K,yr,126000.0,230000.0,178000.0
Barcelona,Trader,€47K,€85K,yr,50153.7,90703.5,70428.6
Amsterdam,Trader,€98K,€324K,yr,104575.8,345740.4,225158.1
Seoul,Trader,₩73M,₩142M,yr,55561.07929216921,108077.71588339764,81819.39758778343
Rome (Italy),Trader,$106K,$195K,yr,106000.0,195000.0,150500.0
Prague,Trader,CZK61K,CZK61K,mo,31667.769399172947,31667.769399172947,31667.769399172947
Madrid,Trader,€49K,€135K,yr,52287.9,144058.5,98173.2
Berlin,Trader,€45K,€92K,yr,48019.5,98173.2,73096.35
Los Angeles,Trader,$110K,$204K,yr,110000.0,204000.0,157000.0
Chicago,Trader,$104K,$193K,yr,104000.0,193000.0,148500.0
Washington DC,Trader,$99K,$181K,yr,99000.0,181000.0,140000.0
Beijing,Trader,CN¥146K,CN¥607K,yr,20051.30053153837,83363.96864824515,51707.63458989176
Istanbul,Trader,TRY164K,TRY213K,mo,69022.78680711902,89645.44871900215,79334.11776306058
Dublin,Trader,€43K,€140K,yr,45885.3,149394.0,97639.65
"Vienna, Austria",Trader,€92K,€161K,yr,98173.2,171803.09999999998,134988.15
Milan,Trader,€45K,€119K,yr,48019.5,126984.9,87502.2
Toronto,Trader,CA$78K,CA$166K,yr,56579.29440554686,120412.34450411257,88495.8194548297
Boston,Trader,$102K,$186K,yr,102000.0,186000.0,144000.0
Abu Dhabi,Trader,AED250K,AED250K,mo,0.0,0.0,0.0
Budapest,Trader,HUF1M,HUF8M,mo,33752.96536454215,270023.7229163372,151888.34414043967
São Paulo,Trader,R$23K,R$130K,mo,56494.9742960178,319319.4199340136,187907.1971150157
Stockholm,Trader,SEK89K,SEK113K,mo,97778.97130110249,124146.33434859078,110962.65282484663
Munich,Trader,€59K,€109K,yr,62958.9,116313.9,89636.4
"Melbourne, Australia",Trader,A$75K,A$148K,yr,48235.59546769527,95184.90838958533,71710.2519286403
Lisbon,Trader,€22K,€38K,yr,23476.2,40549.8,32013.0
Zürich,Trader,CHF117K,CHF199K,yr,130066.36107927909,221223.98166475675,175645.1713720179
Seattle,Trader,$114K,$209K,yr,114000.0,209000.0,161500.0
Sydney,Trader,A$105K,A$339K,yr,67529.83365477338,218024.8915139826,142777.362584378
Brussels,Trader,€76K,€219K,yr,81099.59999999999,233694.9,157397.25
San Jose,Trader,$124K,$226K,yr,124000.0,226000.0,175000.0
Bangkok,Trader,THB20K,THB45K,mo,6754.331830049845,15197.246617612152,10975.789223830998
Warsaw,Trader,PLN32K,PLN106K,mo,91762.71414175344,303963.9905945583,197863.35236815587
Copenhagen,Trader,DKK499K,DKK525K,mo,856770.5551086082,901411.9066773932,879091.2308930007
Taipei,Trader,NT$950K,NT$2M,yr,0.0,0.0,0.0
Austin,Trader,$101K,$186K,yr,101000.0,186000.0,143500.0
Oslo,Trader,NOK1M,NOK2M,yr,89443.02418171913,178886.04836343825,134164.5362725787
Hong Kong,Trader,HK$695K,HK$2M,yr,0.0,0.0,0.0
"Athens, Greece",Trader,€1K,€14K,mo,12805.2,179272.8,96039.0
Frankfurt,Trader,€98K,€145K,yr,104575.8,154729.5,129652.65
Vancouver,Trader,CA$47K,CA$84K,yr,34092.6517571885,60931.54782135817,47512.09978927333
San Diego,Trader,$92K,$170K,yr,92000.0,170000.0,131000.0
Orlando,Trader,$88K,$164K,yr,88000.0,164000.0,126000.0
Helsinki,Trader,€79K,€79K,yr,84300.9,84300.9,84300.9
Miami,Trader,$93K,$173K,yr,93000.0,173000.0,133000.0
Buenos Aires,Trader,ARS907K,ARS24M,mo,0.0,0.0,0.0
Hamburg,Trader,€94K,€178K,yr,100307.4,189943.8,145125.59999999998
Brisbane,Trader,A$59K,A$110K,yr,37945.335101253615,70745.54001928639,54345.43756027
Las Vegas,Trader,$91K,$168K,yr,91000.0,168000.0,129500.0
Montreal,Trader,CA$75K,CA$186K,yr,54403.16769764122,134919.8558901502,94661.51179389573
Glasgow,Trader,£31K,£50K,yr,38016.548870884326,61317.01430787795,49666.781589381135
Shanghai,Trader,CN¥493K,CN¥2M,yr,67707.47371266039,274675.349747101,171191.4117298807
Rio de Janeiro,Trader,R$8K,R$12K,mo,19650.42584209315,29475.638763139723,24563.03230261644
Auckland,Trader,NZ$80K,NZ$144K,yr,0.0,0.0,0.0
Atlanta,Trader,$93K,$174K,yr,93000.0,174000.0,133500.0
